Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Release Payment,Chrome 115.0.0.0,Release Payment,,2023-08-07 10:59:48,2023-08-07 11:02:34,2m - 46.505s,FAILED
,,,,,,,
Test Cases/7. Release Payment/7.8 Membuat Release Payment tanpa Description seharusnya data tidak berhasil di-Submit,Chrome 115.0.0.0,Create Release Payment,Create Release Payment,2023-08-07 10:59:49,2023-08-07 11:00:54,1m - 5.150s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-07 10:59:51,2023-08-07 11:00:00,8.958s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-07 11:00:00,2023-08-07 11:00:03,3.082s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-07 11:00:03,2023-08-07 11:00:03,0.591s,PASSED
"click(findTestObject(""Login/a_Login""))",Chrome 115.0.0.0,,,2023-08-07 11:00:03,2023-08-07 11:00:06,2.999s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 11:00:06,2023-08-07 11:00:09,3.127s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 11:00:09,2023-08-07 11:00:11,1.323s,PASSED
"setText(findTestObject(""Login/input_UserName""), ""adm.jember"")",Chrome 115.0.0.0,,,2023-08-07 11:00:11,2023-08-07 11:00:12,1.232s,PASSED
"setText(findTestObject(""Login/input_Password""), ""asdf"")",Chrome 115.0.0.0,,,2023-08-07 11:00:12,2023-08-07 11:00:13,1.267s,PASSED
"setText(findTestObject(""Login/input_Captcha""), ""aa"")",Chrome 115.0.0.0,,,2023-08-07 11:00:13,2023-08-07 11:00:14,1.164s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 11:00:14,2023-08-07 11:00:17,3.013s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 11:00:17,2023-08-07 11:00:18,1.110s,PASSED
"click(findTestObject(""Login/button_Log In""))",Chrome 115.0.0.0,,,2023-08-07 11:00:18,2023-08-07 11:00:20,1.560s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 11:00:20,2023-08-07 11:00:23,3.011s,PASSED
"click(findTestObject(""Ready to Pay/a_BOA""))",Chrome 115.0.0.0,,,2023-08-07 11:00:23,2023-08-07 11:00:24,0.828s,PASSED
"click(findTestObject(""Ready to Pay/a_TRANSACTION BOA""))",Chrome 115.0.0.0,,,2023-08-07 11:00:24,2023-08-07 11:00:25,0.708s,PASSED
"click(findTestObject(""Release Payment/a_Release Payment""))",Chrome 115.0.0.0,,,2023-08-07 11:00:25,2023-08-07 11:00:26,1.509s,PASSED
"click(findTestObject(""Ready to Pay/Maximize""))",Chrome 115.0.0.0,,,2023-08-07 11:00:26,2023-08-07 11:00:26,0.005s,NOT_RUN
delay(3),Chrome 115.0.0.0,,,2023-08-07 11:00:26,2023-08-07 11:00:29,3.012s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 11:00:29,2023-08-07 11:00:30,1.047s,PASSED
"click(findTestObject(""Release Payment/a_Create""))",Chrome 115.0.0.0,,,2023-08-07 11:00:30,2023-08-07 11:00:33,2.571s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 11:00:33,2023-08-07 11:00:36,3.009s,PASSED
